sitename,monitordate,itemengname,concentration
中山,2025-08-01 10:00,WIND_SPEED,1.1
中山,2025-08-01 10:00,NMHC,0.19
中山,2025-08-01 10:00,THC,2.27
中山,2025-08-01 10:00,NO2,23.0
中山,2025-08-01 10:00,NO,5.1
中山,2025-08-01 10:00,NOx,28.4
中山,2025-08-01 10:00,PM10,26.0
中山,2025-08-01 10:00,O3,37.0
中山,2025-08-01 10:00,CO,0.54
中山,2025-08-01 10:00,SO2,1.0
士林,2025-08-01 10:00,WD_HR,148.0
士林,2025-08-01 10:00,WS_HR,1.1
士林,2025-08-01 10:00,RH,69.0
士林,2025-08-01 10:00,PM2.5,12.0
士林,2025-08-01 10:00,RAINFALL,0.0
士林,2025-08-01 10:00,AMB_TEMP,32.9
士林,2025-08-01 10:00,WIND_DIREC,136.0
士林,2025-08-01 10:00,WIND_SPEED,1.3
士林,2025-08-01 10:00,NO2,10.0
士林,2025-08-01 10:00,NO,1.8
士林,2025-08-01 10:00,NOx,12.1
士林,2025-08-01 10:00,PM10,21.0
士林,2025-08-01 10:00,O3,51.0
士林,2025-08-01 10:00,CO,0.32
士林,2025-08-01 10:00,SO2,1.5
陽明,2025-08-01 10:00,RH,79.0
陽明,2025-08-01 10:00,PM2.5,
陽明,2025-08-01 10:00,RAINFALL,0.0
陽明,2025-08-01 10:00,AMB_TEMP,27.9
陽明,2025-08-01 10:00,NO2,2.0
陽明,2025-08-01 10:00,NO,0.0
陽明,2025-08-01 10:00,NOx,2.8
陽明,2025-08-01 10:00,PM10,24.0
陽明,2025-08-01 10:00,O3,
陽明,2025-08-01 10:00,CO,0.23
陽明,2025-08-01 10:00,SO2,3.3
大同,2025-08-01 10:00,WD_HR,
大同,2025-08-01 10:00,WS_HR,
大同,2025-08-01 10:00,RH,60.0
大同,2025-08-01 10:00,PM2.5,15.0
大同,2025-08-01 10:00,CH4,2.31
大同,2025-08-01 10:00,RAINFALL,0.0
大同,2025-08-01 10:00,AMB_TEMP,
大同,2025-08-01 10:00,WIND_DIREC,
大同,2025-08-01 10:00,WIND_SPEED,
大同,2025-08-01 10:00,NMHC,0.36
大同,2025-08-01 10:00,THC,2.67
大同,2025-08-01 10:00,NO2,35.0
大同,2025-08-01 10:00,NO,14.0
大同,2025-08-01 10:00,NOx,49.8
大同,2025-08-01 10:00,PM10,28.0
大同,2025-08-01 10:00,O3,32.0
大同,2025-08-01 10:00,CO,1.22
大同,2025-08-01 10:00,SO2,1.6
松山,2025-08-01 10:00,WD_HR,45.0
松山,2025-08-01 10:00,WS_HR,1.1
松山,2025-08-01 10:00,RH,66.0
松山,2025-08-01 10:00,PM2.5,8.0
松山,2025-08-01 10:00,CH4,2.06
松山,2025-08-01 10:00,RAINFALL,0.0
松山,2025-08-01 10:00,AMB_TEMP,32.5
松山,2025-08-01 10:00,WIND_DIREC,57.0
松山,2025-08-01 10:00,WIND_SPEED,2.1
松山,2025-08-01 10:00,NMHC,0.26
松山,2025-08-01 10:00,THC,2.31
松山,2025-08-01 10:00,NO2,
松山,2025-08-01 10:00,NO,
松山,2025-08-01 10:00,NOx,
松山,2025-08-01 10:00,PM10,17.0
松山,2025-08-01 10:00,O3,33.0
松山,2025-08-01 10:00,CO,0.3
松山,2025-08-01 10:00,SO2,3.3
古亭,2025-08-01 10:00,WD_HR,119.0
古亭,2025-08-01 10:00,WS_HR,0.9
古亭,2025-08-01 10:00,RH,66.0
古亭,2025-08-01 10:00,PM2.5,11.0
古亭,2025-08-01 10:00,CH4,2.0
古亭,2025-08-01 10:00,RAINFALL,0.0
古亭,2025-08-01 10:00,AMB_TEMP,32.7
古亭,2025-08-01 10:00,WIND_DIREC,114.0
古亭,2025-08-01 10:00,WIND_SPEED,1.0
古亭,2025-08-01 10:00,NMHC,0.11
古亭,2025-08-01 10:00,THC,2.12
古亭,2025-08-01 10:00,NO2,13.0
古亭,2025-08-01 10:00,NO,2.2
古亭,2025-08-01 10:00,NOx,15.5
古亭,2025-08-01 10:00,PM10,21.0
古亭,2025-08-01 10:00,O3,44.0
古亭,2025-08-01 10:00,CO,0.34
古亭,2025-08-01 10:00,SO2,1.8
萬華,2025-08-01 10:00,WD_HR,123.0
萬華,2025-08-01 10:00,WS_HR,0.1
萬華,2025-08-01 10:00,RH,58.0
萬華,2025-08-01 10:00,PM2.5,14.0
萬華,2025-08-01 10:00,CH4,2.25
萬華,2025-08-01 10:00,RAINFALL,0.0
萬華,2025-08-01 10:00,AMB_TEMP,33.3
萬華,2025-08-01 10:00,WIND_DIREC,170.0
萬華,2025-08-01 10:00,WIND_SPEED,0.8
萬華,2025-08-01 10:00,NMHC,0.15
萬華,2025-08-01 10:00,THC,2.4
萬華,2025-08-01 10:00,NO2,18.0
萬華,2025-08-01 10:00,NO,1.8
萬華,2025-08-01 10:00,NOx,20.6
萬華,2025-08-01 10:00,PM10,27.0
萬華,2025-08-01 10:00,O3,47.0
萬華,2025-08-01 10:00,CO,0.5
萬華,2025-08-01 10:00,SO2,2.1
中山,2025-08-01 10:00,WD_HR,348.0
中山,2025-08-01 10:00,WS_HR,0.1
中山,2025-08-01 10:00,RH,54.0
中山,2025-08-01 10:00,PM2.5,15.0
中山,2025-08-01 10:00,CH4,2.08
中山,2025-08-01 10:00,RAINFALL,0.0
中山,2025-08-01 10:00,AMB_TEMP,33.0
中山,2025-08-01 10:00,WIND_DIREC,105.0
中山,2025-08-01 10:00,WIND_SPEED,1.1
中山,2025-08-01 10:00,NMHC,0.19
中山,2025-08-01 10:00,THC,2.27
中山,2025-08-01 10:00,NO2,23.0
中山,2025-08-01 10:00,NO,5.1
中山,2025-08-01 10:00,NOx,28.4
中山,2025-08-01 10:00,PM10,26.0
中山,2025-08-01 10:00,O3,37.0
中山,2025-08-01 10:00,CO,0.54
中山,2025-08-01 10:00,SO2,1.0
士林,2025-08-01 10:00,WD_HR,148.0
